class,tweet,toxic_words_found
0,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn","['fuck', 'fucking']"
0,"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers","['nigger', 'niggers', 'hate']"
0,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",['nigger']
0,"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag",['fag']
0,"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger","['nigger', 'stupid']"
0,"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes","['fag', 'faggot']"
0,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!","['retard', 'kill']"
0,"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa",['bitch']
0,"""Don't worry about the nigga you see, worry about the nigga you DON'T see... Dat's da nigga fuckin yo bitch.""","['fuck', 'bitch', 'nigga']"
0,"""Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger"" - #shitmybosssays","['shit', 'nigger']"
0,"""Let's kill cracker babies!"". WTF did I just hear???????? WOW.",['kill']
0,"""My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife"" &#128563;",['nigger']
0,"""Nah its You @NoMeek_JustMilz: &#128514;&#128514;&#128514;&#128514; yo i thought some1 photoshopped my face on that faggot smmfh...i hate yall"" http://t.co/5e2fkQ3Q2T","['fag', 'faggot', 'hate']"
0,"""These sour apple bitter bitches, I'm not fuckin wit em""","['fuck', 'bitch', 'bitches']"
0,"""We hate niggers, we hate faggots and we hate spics""-kkk rally","['nigger', 'niggers', 'fag', 'faggot', 'hate']"
0,"""Who the fuck you callin jiggaboo, nigga?!""","['fuck', 'nigga']"
0,"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an",['fag']
0,"""You ain't gunna do shit spear chucker""",['shit']
0,"""You ol trout mouth ass bitch"" 
DEEEEAAAADD",['bitch']
0,"""ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes""","['bitch', 'bitches', 'kill']"
0,"""fuck you you pussy ass hater go suck a dick and die quick"" - Someone, to me, in Youtube comments. I think we'd be good friends.","['fuck', 'dick', 'pussy', 'hate', 'die']"
0,"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race","['fuck', 'bitch']"
0,"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding",['trash']
0,#California is full of white trash,['trash']
0,#California is full of white trash who moved from #Oklahoma,['trash']
0,#DTLA is trash because of non-Europeans are allowed to live there.,['trash']
0,#Dutch farmers are white trash.,['trash']
0,#Dutch people who live outside of #NewYorkCity are all white trash.,['trash']
0,#Iowa is full of white trash,['trash']
0,#JesusChrist was STRAIGHT&gt; That's why the #faggots killed him. #PERIOD #SonOfGod&gt;,"['fag', 'faggot', 'kill']"
0,#Minnesota is full of white trash,['trash']
0,"#RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones""..... or something...... #faggot #rome","['fag', 'faggot']"
0,"#SlightlyAdjusted RT @CapoToHeaven Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day","['fuck', 'nigger', 'niggers']"
0,#SomethingIGetAlot Are you... asian? black? Hawaiian? gay? retarded? drunk?,['retard']
0,#SouthCarolina is full of white trash,['trash']
0,#ThingsIWillTeachMyChild how to play deez niggas n bitches dat be snakes,"['bitch', 'bitches', 'nigga', 'niggas']"
0,"#TweetLikePontiacHolmes&#160;
I do the Pontiac sprinkler...

Nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga",['nigga']
0,#Virginia is full of white trash.,['trash']
0,#WestVirginia is full of white trash.,['trash']
0,"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique indiviuals"" for they are #cancer&gt;","['fag', 'faggot']"
0,#firefighter is a job for white trash,['trash']
0,&#128514; &#8220;@BossmobbE: Racist all month .. Fuck u honkey&#8221;,['fuck']
0,&#128514; RT @TheOnlyReed: LMFAO RT @Tone314: If you watching porn &amp; beating off &amp; yo homie text u &amp; it show his name in the banner you're a faggot,"['fag', 'faggot']"
0,&#128563; RT @KingHov1313: They recruited buku fags in here!&#128563;...a warehouse is no place for them!&#128530;,['fag']
0,&#8220;@AlexaDelsanter: This is awkward u fag @corleyhuff @vitchhhh http://t.co/HUDOhA6YQe&#8221; wonder who's awesome tank that is &#128522;,['fag']
0,"&#8220;@BixxhMakeMeRich: If u ask me, every bitch gay&#8221;or ""bi""",['bitch']
0,"&#8220;@Crowdifornia: We agree... do you? http://t.co/4diz5NKYMN&#8221; FUCK YES, I DO! Send those illegal, wetbacks home!!!",['fuck']
0,"&#8220;@DickFurari: HELL YA THEY SHOULD MAKE MORE MALT LIQUOR ADS LIKE THIS. http://t.co/H0JGORtnF8&#8221;

- Dis be heaven fo a colored man",['dick']
0,&#8220;@FreddieGibbs: Tea bag a bitch.&#8221; Pahahaha,"['bitch', 'die']"
0,"&#8220;@FunnyPicsDepot: ""fucking white people"" http://t.co/uyjGzuX4Cc&#8221; bitch wut?","['fuck', 'fucking', 'bitch']"
0,"&#8220;@GlitteredInPink: @West305 you like 5'8, you needs to&#8221;....1. You a hoe. 2. i'm 5'10(breaking11) 3.suck my dick.",['dick']
0,&#8220;@MILF_chronicles: Dudes shaving without it being for an athletic purpose is gay af&#8221; you're retarded.,['retard']
0,"&#8220;@Maxwell_Larsen: When you live this gay, you can't be afraid of two black dicks in your butt"" you fucking queer","['fuck', 'fucking', 'dick']"
